City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keflavik,64.0049,-22.5624,10.95,100,100,4.12,IS,1718917111
1,albany,42.6001,-73.9662,34.46,62,59,2.03,US,1718916915
2,wailua homesteads,22.0669,-159.378,27.24,74,75,8.75,US,1718917113
3,souillac,-20.5167,57.5167,23.21,60,75,5.14,MU,1718917114
4,chibougamau,49.9168,-74.3659,20.79,37,20,6.17,CA,1718917115
5,ugoofaaru,5.6667,73.0,28.31,80,100,8.09,MV,1718917117
6,blackmans bay,-43.0167,147.3167,7.63,88,99,0.45,AU,1718917118
7,buala,-8.145,159.5921,26.47,85,100,3.89,SB,1718917119
8,puerto baquerizo moreno,-0.9,-89.6,24.55,78,75,6.17,EC,1718917120
9,sur,22.5667,59.5289,35.52,36,28,3.84,OM,1718917121
10,rumoi,43.9344,141.6428,16.05,92,100,2.3,JP,1718917122
11,adamstown,-25.066,-130.1015,21.29,71,26,7.06,PN,1718917123
12,ushuaia,-54.8,-68.3,-2.19,86,40,3.6,AR,1718916888
13,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,87,100,1.0,RU,1718917126
14,kish,26.5578,54.0194,32.15,79,12,2.06,IR,1718917127
15,remire-montjoly,4.9167,-52.2667,26.02,94,100,2.06,GF,1718917128
16,winnemucca,40.973,-117.7357,31.03,8,0,4.12,US,1718917129
17,smithers,54.7804,-127.1743,22.18,37,75,0.0,CA,1718917130
18,saipan,15.1355,145.701,28.39,74,40,3.6,MP,1718917132
19,fredericton,45.9454,-66.6656,33.58,44,75,6.17,CA,1718917082
20,dhulia,20.9,74.7833,29.14,67,100,4.74,IN,1718917134
21,margaret river,-33.95,115.0667,13.03,78,100,4.98,AU,1718917135
22,carnarvon,-24.8667,113.6333,17.42,54,0,6.04,AU,1718917136
23,vadso,70.0744,29.7487,9.49,93,75,1.54,NO,1718917137
24,bethel,41.3712,-73.414,35.36,54,0,4.63,US,1718917015
25,grytviken,-54.2811,-36.5092,-7.78,72,16,6.39,GS,1718917139
26,kakata,6.53,-10.3517,25.49,97,100,1.23,LR,1718916941
27,crane,31.3974,-102.3501,25.5,64,100,7.83,US,1718917142
28,mata-utu,-13.2816,-176.1745,28.55,76,33,5.95,WF,1718917143
29,alice springs,-23.7,133.8833,4.75,93,63,2.57,AU,1718917144
30,oxelosund,58.6706,17.1015,15.21,72,0,6.69,SE,1718917147
31,sanya,18.2431,109.505,30.09,84,40,3.0,CN,1718917148
32,waitangi,-43.9535,-176.5597,9.34,69,46,7.8,NZ,1718917150
33,plastun,44.7561,136.2939,9.84,99,100,1.09,RU,1718917151
34,port-aux-francais,-49.35,70.2167,2.69,68,69,10.53,TF,1718917152
35,shingu,33.7333,135.9833,19.19,99,100,8.15,JP,1718917153
36,melfort,52.8667,-104.6177,20.07,26,76,2.57,CA,1718917155
37,jamestown,42.097,-79.2353,29.77,69,75,4.12,US,1718916946
38,dryden,49.7833,-92.7503,22.16,37,40,5.66,CA,1718917045
39,iqaluit,63.7506,-68.5145,5.85,70,100,5.66,CA,1718917158
40,puerto natales,-51.7236,-72.4875,-8.75,92,20,0.51,CL,1718917159
41,lebu,-37.6167,-73.65,11.42,89,99,9.94,CL,1718917160
42,emerald,-23.5333,148.1667,13.68,68,91,1.6,AU,1718917161
43,hawaiian paradise park,19.5933,-154.9731,26.6,72,75,2.57,US,1718917163
44,west island,-12.1568,96.8225,26.99,89,40,3.6,CC,1718917164
45,colonia,50.9333,6.95,20.7,83,100,0.92,DE,1718917165
46,myeik,12.4333,98.6,26.86,84,99,4.77,MM,1718917166
47,haiku-pauwela,20.9219,-156.3051,28.47,66,20,11.32,US,1718917167
48,georgetown,5.4112,100.3354,27.96,83,40,1.54,MY,1718917159
49,edinburgh of the seven seas,-37.0676,-12.3116,13.02,71,31,3.97,SH,1718917170
50,ostashkov,57.1467,33.1075,12.36,63,3,4.63,RU,1718917171
51,kuta,-8.7233,115.1723,25.97,83,20,5.14,ID,1718917172
52,horta,38.5333,-28.6333,20.8,75,20,2.24,PT,1718917173
53,katsuura,35.1333,140.3,21.53,91,100,7.08,JP,1718917174
54,mount gambier,-37.8333,140.7667,9.0,70,100,2.01,AU,1718917175
55,toropets,56.4978,31.6353,12.22,71,3,3.39,RU,1718917176
56,talnakh,69.4865,88.3972,1.83,84,72,1.22,RU,1718917177
57,enewetak,11.3474,162.3373,28.07,81,20,7.8,MH,1718917179
58,bamboo flat,11.7,92.7167,26.05,94,75,5.66,IN,1718917180
59,bredasdorp,-34.5322,20.0403,12.44,63,100,2.03,ZA,1718917181
60,hun,29.1268,15.9477,30.41,29,0,6.9,LY,1718917182
61,ancud,-41.8697,-73.8203,9.36,87,100,10.42,CL,1718917183
62,bich'vinta,43.1592,40.3378,23.1,86,100,1.2,GE,1718917184
63,ji'an,27.1172,114.9793,26.04,87,100,2.59,CN,1718917185
64,bilibino,68.0546,166.4372,15.19,44,0,2.93,RU,1718917186
65,prince rupert,54.3161,-130.3201,14.05,87,40,3.09,CA,1718917188
